mal_id,episodes,year,synopsis_length,type_CM,type_Movie,type_Music,type_ONA,type_OVA,type_PV,type_Special,type_TV,type_TV.Special,type_Unknown,status_Currently.Airing,status_Finished.Airing,status_Not.yet.aired,source_X4.koma.manga,source_Book,source_Game,source_Light.novel,source_Manga,source_Mixed.media,source_Music,source_Novel,source_Original,source_Other,source_Picture.book,source_Unknown,source_Visual.novel,source_Web.manga,source_Web.novel,rating_G...All.Ages,rating_PG...Children,rating_PG.13...Teens.13.or.older,rating_R...17...violence...profanity.,rating_R....Mild.Nudity,rating_Rx...Hentai,rating_Unknown,season_fall,season_spring,season_summer,season_Unknown,season_winter,genre_Comedy,genre_Fantasy,genre_Action,genre_Adventure,genre_Sci.Fi,genre_Drama,genre_Romance,genre_Slice.of.Life,genre_Hentai,genre_Supernatural,genre_Avant.Garde,genre_Mystery,genre_Ecchi,genre_Sports,genre_Horror,genre_Suspense,genre_Award.Winning,genre_Gourmet,genre_Boys.Love,genre_Girls.Love,genre_Erotica,theme_Music,theme_School,theme_Historical,theme_Mecha,theme_Anthropomorphic,theme_Parody,theme_Adult.Cast,theme_Military,theme_Super.Power,theme_Martial.Arts,theme_Space,theme_Mythology,theme_Harem,theme_Isekai,theme_Psychological,theme_Idols..Female.,theme_Mahou.Shoujo,theme_Strategy.Game,theme_Educational,theme_Team.Sports,theme_Detective,theme_Gag.Humor,theme_Racing,theme_Gore,theme_CGDCT,demo_Kids,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,studio_Toei.Animation,studio_Sunrise,studio_J.C.Staff,studio_TMS.Entertainment,studio_Madhouse,studio_Production.I.G,studio_Shanghai.Animation.Film.Studio,studio_Studio.Deen,studio_OLM,studio_Studio.Pierrot,studio_Shin.Ei.Animation,studio_A.1.Pictures,studio_DLE,studio_Nippon.Animation,studio_AIC,studio_Tatsunoko.Production,studio_Bones,studio_Xebec,studio_Shaft,studio_T.Rex,studio_Gonzo,studio_Kyoto.Animation,studio_SILVER.LINK.,studio_LIDENFILMS,studio_AQUA.ARIS,studio_Satelight,studio_X..Brains.Base..,studio_Arms,studio_MAPPA,studio_Seven,producer_NHK,producer_TV.Tokyo,producer_Aniplex,producer_Lantis,producer_Movic,producer_Kadokawa,producer_AT.X,producer_Pony.Canyon,producer_Bandai.Visual,producer_Fuji.TV,producer_Dentsu,producer_KlockWorx,producer_Kodansha,producer_Shueisha,producer_Sotsu,producer_Mainichi.Broadcasting.System,producer_Pink.Pineapple,producer_bilibili,producer_TBS,producer_Tokyo.MX,producer_DAX.Production,producer_Tencent.Video,producer_BS11,producer_Sanrio,producer_TV.Asahi,producer_Kadokawa.Shoten,producer_Nippon.Television.Network,producer_Genco,producer_Magic.Capsule,producer_Crunchyroll,licensor_Funimation,licensor_Sentai.Filmworks,licensor_Discotek.Media,licensor_ADV.Films,licensor_Media.Blasters,licensor_Aniplex.of.America,licensor_VIZ.Media,licensor_Bandai.Entertainment,licensor_Geneon.Entertainment.USA,licensor_Crunchyroll,licensor_Nozomi.Entertainment,licensor_Central.Park.Media,licensor_Kitty.Media,licensor_GKIDS,licensor_Critical.Mass.Video,licensor_NuTech.Digital,licensor_Maiden.Japan,licensor_Manga.Entertainment,licensor_NYAV.Post,licensor_NIS.America,stream_Crunchyroll,stream_Netflix,stream_HIDIVE,stream_Bahamut.Anime.Crazy,stream_Bilibili.Global,stream_Aniplus.TV,stream_Laftel,stream_Ani.One.Asia,stream_Bilibili,stream_Muse.Asia,stream_Anime.Digital.Network,stream_CatchPlay,stream_MeWatch,stream_iQIYI,stream_Aniplus.Asia,stream_Shahid,stream_Sushiroll,stream_Hulu,stream_Animax.Korea,stream_Animekey,num_characters,num_main_characters,num_supporting_characters,sum_character_favorites,avg_character_favorites,max_character_favorites,avg_about_length,avg_nicknames_per_character,num_seiyuu,num_main_seiyuu,num_support_seiyuu,num_music_people,num_music_entries,num_op_entries,num_ed_entries,num_insert_entries,num_recommendations_made,num_unique_recommendations_made,Y_popularity,Y_score_global
59356,1,,126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,1,0,0,0,,,22507,
56036,1,,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,1,0,0,0,,,15004,6.53
2928,1,,423,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,15,786,41.3684210526316,539,1158.10526315789,1,18,4,14,25,25,0,2,0,,,5056,6.65
3269,1,,1293,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,14,952,52.8888888888889,539,1178.44444444444,1,24,8,18,7,7,0,0,0,7,7,4215,7.06
4469,1,,92,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9,819,63,539,1086.61538461538,1,12,4,8,1,1,0,0,0,1,1,6696,6.35
454,1,,570,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,15,1142,63.4444444444444,380,443,1,17,3,15,27,27,4,4,0,4,4,5162,6.09
1143,1,,580,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,130,43.3333333333333,74,497.666666666667,1,14,6,8,21,21,0,2,0,,,4910,6.51
299,4,,769,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,16,27,1.35,16,337.6,1,37,8,29,93,93,2,2,0,4,4,4178,6.58
9332,3,,232,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,486,44.1818181818182,380,261.727272727273,,22,13,9,80,80,0,1,0,6,6,3808,7.11
10390,3,,110,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,52,13,28,191.5,,,,,1,1,0,0,0,,,7369,6.29
